,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,senanga,ZM,8,1520468698,82,-16.1,23.3,67.63,2.89
1,malgrat de mar,ES,20,1520467200,100,41.65,2.74,46.4,2.24
2,plettenberg bay,ZA,88,1520468699,100,-34.05,23.37,66.64,13.78
3,georgiyevka,RU,92,1520468699,95,52.25,40.45,26.41,14.18
4,neuruppin,DE,75,1520466600,93,52.92,12.81,35.6,8.05
5,marrakesh,MA,75,1520465400,77,31.63,-7.99,60.8,6.93
6,leh,IN,48,1520468700,74,34.16,77.58,-10.31,1.88
7,kota,IN,32,1520468701,52,25.17,75.86,62.28,2.77
8,bosaso,SO,0,1520468702,100,11.28,49.18,75.19,10.16
9,sychevka,RU,80,1520468702,89,55.83,34.27,19.08,11.39
10,aleksandrov gay,RU,92,1520468703,90,50.14,48.57,20.74,15.86
11,jorpeland,NO,90,1520466600,87,59.02,6.04,33.8,3.36
12,westerland,NL,75,1520467440,93,52.89,4.93,41,11.41
13,gedo,ET,100,1520468704,53,9.01,37.45,65.65,1.99
14,kanashevo,RU,0,1520465400,60,55.21,62.07,6.8,15.66
15,alanya,TR,56,1520468705,100,36.55,32,54.9,3.22
16,kalabo,ZM,0,1520468706,66,-15,22.67,69.16,3.22
17,peyima,SL,44,1520468706,87,8.69,-11.04,73.53,5.06
18,havre-saint-pierre,CA,90,1520467200,79,50.23,-63.6,23,4.7
19,miandrivazo,MG,12,1520468707,93,-19.53,45.46,66.78,2.59
20,sertanopolis,BR,0,1520463600,83,-23.06,-51.04,77,9.15
21,solwezi,ZM,48,1520468708,95,-12.18,26.4,60.61,3.89
22,jiblah,YE,0,1520468708,63,13.92,44.15,40.99,2.21
23,puerto leguizamo,CO,8,1520468709,85,-0.19,-74.78,79.69,1.77
24,isabela,PH,8,1520468709,72,10.2,122.99,80.55,3.78
25,amboasary,MG,40,1520467200,88,-25.04,46.38,73.4,2.24
26,itarema,BR,64,1520468710,86,-2.92,-39.92,79.51,6.29
27,rodrigues alves,BR,8,1520468711,93,-7.74,-72.65,76.77,3.33
28,kutum,SD,8,1520468711,32,14.2,24.66,53.5,6.13
29,jaisalmer,IN,0,1520468711,71,26.91,70.91,60.88,4.5
30,moroni,US,8,1520468580,24,39.52,-111.59,45.18,2.33
31,merritt island,US,1,1520466960,27,28.54,-80.67,68,10.29
32,cotonou,BJ,20,1520463600,79,6.37,2.43,84.2,9.17
33,mahbubabad,IN,0,1520468713,68,17.62,80.02,62.73,2.89
34,yondo,CO,75,1520463600,49,7.01,-73.91,93.2,3.49
35,buraydah,SA,0,1520467200,59,26.33,43.97,64.4,9.17
36,chabahar,IR,0,1520468714,100,25.29,60.65,68.26,6.73
37,wote,KE,0,1520468715,90,-1.78,37.63,63.22,2.82
38,kanker,IN,100,1520468715,49,20.27,81.49,78.57,3
39,kifri,IQ,0,1520468716,84,34.69,44.96,48.42,4.23
40,winchester,GB,92,1520466600,93,51.06,-1.31,39.2,8.05
41,hauterive,FR,20,1520467200,69,46.09,3.45,39.2,2.24
42,medina del campo,ES,92,1520468718,82,41.31,-4.92,39.82,10.04
43,saltpond,GH,8,1520468718,87,5.2,-1.06,77.13,5.01
44,mamou,GN,44,1520468718,46,10.37,-12.08,79.51,3.71
45,katiola,CI,48,1520468719,72,8.14,-5.1,78.34,6.24
46,viramgam,IN,0,1520465400,40,23.12,72.05,69.8,3.36
47,usinsk,RU,80,1520468720,82,66,57.56,7.69,12.39
48,panaba,MX,68,1520468721,71,21.28,-88.27,76.77,6.51
49,saint-leu,RE,75,1520467200,88,-21.15,55.28,75.2,5.82
50,fasa,IR,0,1520467200,50,28.94,53.65,53.6,9.17
51,nisia floresta,BR,20,1520463600,78,-6.09,-35.21,80.6,6.93
52,faya,SA,0,1520467200,41,18.39,42.45,59,2.82
53,krasnyy bogatyr,RU,44,1520468723,82,56.01,41.13,9.72,9.75
54,boa vista,BR,40,1520463600,55,2.82,-60.67,86,6.93
55,certeju de sus,RO,80,1520468725,97,45.97,22.97,36,1.77
56,hwange,ZW,0,1520468726,89,-18.35,26.5,64.48,3.27
57,tromso,NO,0,1520464800,61,69.65,18.96,14,13.87
58,tulum,MX,20,1520466060,69,20.21,-87.46,78.8,5.82
59,grand-lahou,CI,12,1520468728,89,5.24,-5,77.35,4.27
60,port-de-bouc,FR,0,1520467200,100,43.4,4.98,41,8.05
61,mahon,IE,20,1520467200,100,51.89,-8.4,33.8,8.05
62,goya,AR,0,1520468729,44,-29.14,-59.27,71.86,7.52
63,cefalu,IT,88,1520468730,100,38.04,14.02,46.08,7.81
64,hungund,IN,0,1520468731,44,16.07,76.05,65.56,5.5
65,sarahan,IN,12,1520468731,89,31.51,77.79,-1.49,2.04
66,novo aripuana,BR,92,1520468732,100,-5.12,-60.38,72.94,3.04
67,umm kaddadah,SD,0,1520468732,20,13.6,26.69,59.98,7.4
68,morros,BR,40,1520463600,83,-2.87,-44.04,80.6,10.29
69,tortoli,IT,20,1520466900,43,39.93,9.66,51.8,23.04
70,krasnoarmeysk,RU,0,1520465400,92,56.12,38.15,10.4,8.95
71,gerash,IR,0,1520467200,76,27.67,54.14,55.4,2.04
72,ploemeur,FR,75,1520467200,93,47.73,-3.43,46.4,12.75
73,abong mbang,CM,56,1520468735,94,3.98,13.18,70.96,3.49
74,puerto ayora,EC,20,1520463600,74,-0.74,-90.35,82.4,10.29
75,pozo colorado,PY,0,1520468737,71,-23.49,-58.8,76.63,7.85
76,makurdi,NG,20,1520468738,91,7.73,8.54,76.18,10.42
77,balsas,BR,24,1520468738,94,-7.53,-46.04,73.57,2.89
78,tiebissou,CI,75,1520463600,94,7.16,-5.23,71.6,6.93
79,sergiyevsk,RU,88,1520468739,83,53.94,51.16,7.51,8.03
80,wattegama,LK,80,1520468739,100,7.35,80.68,69.03,2.89
81,luanda,AO,8,1520468583,99,-8.83,13.24,76.9,7.02
82,burgeo,CA,0,1520468740,99,47.61,-57.61,32.85,23.73
83,marmaris,TR,75,1520466600,87,36.85,28.27,62.6,4.7
84,booue,GA,8,1520468741,99,-0.09,11.94,72.45,2.21
85,lahijan,IR,90,1520467200,93,37.21,50,50,2.55
86,sandwick,GB,48,1520466600,98,54.57,-2.89,32,6.93
87,aksu,KZ,0,1520467200,77,52.04,76.93,5,15.66
88,maldonado,UY,0,1520467200,72,-34.91,-54.96,64.4,2.24
89,mbandaka,CD,68,1520468744,100,0.05,18.26,71.82,3.33
90,moyale,ET,44,1520468744,70,3.52,39.05,67.05,5.06
91,surgut,RU,20,1520465400,84,61.25,73.4,-0.41,11.18
92,matagami,NG,0,1520468745,64,9.67,8.4,66.37,4.34
93,rosita,NI,12,1520468745,69,13.92,-84.4,74.92,3.6
94,dossor,KZ,92,1520468746,92,47.52,52.98,22.63,13.62
95,benjamin constant,BR,40,1520465100,83,-4.38,-70.03,78.8,3.36
96,adzope,CI,44,1520468747,90,6.11,-3.86,74.92,0.76
97,libenge,CD,8,1520468747,98,3.65,18.64,72.13,4.23
98,sao geraldo do araguaia,BR,24,1520468748,93,-6.4,-48.55,76.45,2.37
99,malindi,KE,20,1520463600,83,-3.22,40.12,80.6,11.16
100,sumbe,AO,0,1520468748,100,-11.2,13.84,74.65,6.02
101,bowmore,US,1,1520468340,39,34.94,-79.3,48.2,6.93
102,varias,RO,88,1520465400,100,46.02,20.95,37.4,5.82
103,hare bay,CA,90,1520467200,86,48.86,-53.99,26.6,14.99
104,matamba,CD,68,1520468750,88,-5.95,22.27,71.55,2.37
105,matranovak,HU,48,1520468751,82,48.04,19.98,28.08,2.55
106,achit,RU,56,1520468751,74,56.8,57.9,7.83,15.9
107,caucaia,BR,75,1520463600,78,-3.73,-38.66,82.4,5.82
108,kontagora,NG,0,1520468752,72,10.4,5.47,75.1,2.89
109,riyadh,SA,0,1520467200,19,24.63,46.72,68,6.93
110,oromocto,CA,90,1520467200,71,45.85,-66.47,32,18.34
111,jimma,ET,36,1520468754,83,7.67,36.84,58.72,1.99
112,cacequi,BR,0,1520468754,64,-29.88,-54.83,65.02,4.83
113,san ramon,NI,20,1520463600,60,12.92,-85.84,73.4,13.87
114,ceres,AR,0,1520468755,34,-29.88,-61.95,71.32,7.02
